concentration,activity,peak
0,0.02,A
2,1.59,A
3,2.51,A
5,3.75,A
10,7.20,A
15,10.14,A
20,12.89,A
25,15.30,A
40,21.79,A
80,34.06,A
100,37.16,A
120,40.47,A
150,45.66,A
200,52.91,A
300,57.90,A
400,60.25,A
500,65.57,A
800,71.23,A
1600,80.10,A
2400,88.01,A
3000,91.36,A
0,0.46,B
2,7.88,B
3,6.26,B
5,8.88,B
10,10.22,B
15,15.26,B
20,20.02,B
25,25.52,B
40,38.12,B
80,52.59,B
100,72.44,B
120,77.19,B
150,86.32,B
200,145.33,B
300,163.52,B
400,183.74,B
500,199.92,B
800,232.54,B
1600,255.26,B
2400,276.11,B
3000,285.62,B
